date,rain,snowdepth,snow,weekday,weekend,holidays,trips,pmt,entries
2012-01-01,0.05,0.0,0.0,1,0,1,204292.0,1011660.0,
2012-01-02,0.0,0.0,0.0,2,0,1,333247.0,1914804.0,
2012-01-03,0.0,0.0,0.0,3,0,0,427620.0,2084644.0,
2012-01-04,0.0,0.0,0.0,4,0,0,462170.0,2122041.0,
2012-01-05,0.0,0.0,0.0,5,0,0,477173.0,2189748.0,
2012-01-06,0.0,0.0,0.0,6,1,0,499391.0,2299542.0,
2012-01-07,0.0,0.0,0.0,7,1,0,512646.0,2536854.0,
2012-01-08,0.0,0.0,0.0,1,0,0,453448.0,2411816.0,
2012-01-09,0.0,0.0,0.0,2,0,0,428907.0,2015567.0,
2012-01-10,0.0,0.0,0.0,3,0,0,460057.0,2070277.0,
2012-01-11,0.07,0.0,0.0,4,0,0,482232.0,2182458.0,
2012-01-12,1.38,0.0,0.0,5,0,0,502326.0,2283317.0,
2012-01-13,0.09,0.0,0.0,6,1,0,544168.0,2531272.0,
2012-01-14,0.0,0.0,0.0,7,1,0,533268.0,2618037.0,
2012-01-15,0.0,0.0,0.0,1,0,0,507323.0,2580676.0,
2012-01-16,0.04,0.0,0.0,2,0,1,408484.0,2064328.0,
2012-01-17,0.19,0.0,0.0,3,0,0,476501.0,2174556.0,
2012-01-18,0.0,0.0,0.0,4,0,0,505980.0,2289617.0,
2012-01-19,0.0,0.0,0.0,5,0,0,515509.0,2364646.0,
2012-01-20,0.0,0.0,0.0,6,1,0,552555.0,2523620.0,
2012-01-21,0.39,1.0,4.3,7,1,0,510060.0,2452773.0,
2012-01-22,0.0,3.0,0.0,1,0,0,458028.0,2398225.0,
2012-01-23,0.37,2.0,0.0,2,0,0,433540.0,1997131.0,
2012-01-24,0.0,0.0,0.0,3,0,0,459691.0,2061119.0,
2012-01-25,0.0,0.0,0.0,4,0,0,495912.0,2231456.0,
2012-01-26,0.18,0.0,0.0,5,0,0,522046.0,2356357.0,
2012-01-27,0.47,0.0,0.0,6,1,0,535639.0,2455456.0,
2012-01-28,0.0,0.0,0.0,7,1,0,542151.0,2625430.0,
2012-01-29,0.0,0.0,0.0,1,0,0,457174.0,2456302.0,
2012-01-30,0.0,0.0,0.0,2,0,0,442455.0,2032512.0,
